Ticker,Outstanding_Shares,Price
ORI,296955318,25.29
DVA,90416566,83.06
EME,47727995,157.35
CIB,265885694,28.17
PSO,715789474,10.45
HR,380928098,19.61
OGE,199892675,37.27
KNSL,23132005,321.20
CAE,317792985,23.38
WCC,51231940,143.27
EGP,44151307,166.02
OLN,130807720,55.96
JEF,233567326,31.34
UGI,209663503,34.77
NVT,165714286,43.75
CACI,23477219,308.81
AA,178254438,40.56
ST,152674984,47.29
WOLF,124417601,57.95
PSTG,302686818,23.82
NOV,393640351,18.24
EDR,291409782,24.33
BERY,121456794,58.21
TOL,110726644,63.58
BLD,31728814,221.25
AXTA,220992728,31.63
CIEN,149167734,46.86
STVN,264873058,26.39
ITT,82838832,84.26
FR,132190476,52.50
PLNT,89430894,77.49
MTZ,78758950,87.99
INGR,65967588,104.90
DOCS,193783254,35.71
BYD,101845018,67.75
SEE,144451463,47.49
WMS,81145301,84.17
THC,102368106,66.72
SBS,705699482,9.65
WBS,174436475,39.04
CFR,64277588,105.48
FCN,33946748,199.43
HESM,239872068,28.14
AR,295904888,22.71
CW,38336285,175.03
STN,110815750,60.19
GLOB,42469802,155.64
SF,106634304,61.80
RLI,45539613,144.27
CHH,51465389,127.27
PRI,36528916,179.31
TIMB,483013294,13.54
SBSW,707608696,9.20
ARW,57588376,112.87
WF,242990654,26.75
NYT,163888889,39.60
GME,304676429,21.17
ADT,922746781,6.99
TPX,172100481,37.42
RBC,29082673,220.75
CIG,2648760331,2.42
JLL,47537823,134.84
VMI,21329232,299.12
HLI,68678347,92.46
GNRC,61908017,102.41
PAAS,364896074,17.32
NYCB,682953312,9.21
CNM,246456693,25.40
SITE,44903522,139.41
KGC,1227450980,5.10
GWRE,81611300,76.46
NVST,163222600,38.23
WFG,81299752,76.63
MHK,63740536,97.74
AN,46840877,132.79
OHI,234186747,26.56
RRC,240898528,25.82
PII,56993392,108.96
AIZ,52968817,117.05
EHC,99709584,61.98
GXO,118777628,52.03
SON,97933227,62.90
BRX,300487805,20.50
BC,71196660,86.24
CWEN,198441052,30.79
MDU,203554661,29.82
ADC,90096798,67.15
CLVT,675223214,8.96
AQUA,122519239,49.38
LAD,27573948,219.41
OGN,254008439,23.70
STAG,179425837,33.44
LEVI,395902181,15.13
TREX,108584940,54.98
CMA,131410962,45.43
MGY,278504673,21.40
BLCO,350176263,17.02
X,227012591,26.21
MUSA,21790083,273.06
SLGN,110038968,53.89
VVV,172002328,34.36
WH,86224564,68.31
MTDR,119230769,49.40
FAF,103248464,56.95
PR,562679426,10.45
KT,512259194,11.42
BWXT,91449117,63.97
CPRI,125726588,46.45
GIL,179969183,32.45
FTI,441332324,13.21
GMED,100328095,57.91
MUR,156207918,37.13
ESTC,96483919,60.01
SMAR,132342857,43.75
FLO,211886305,27.09
HXL,84301898,67.97
BEPC,172133614,33.23
CMC,116899098,48.76
SAIC,54177360,105.21
CSAN,466776046,12.19
TKR,72624984,78.21
ASH,54245735,104.34
IDA,50672929,110.71
DXC,227734852,24.59
STWD,320343840,17.45
CIVI,80172414,69.60
ALK,127489128,43.69
IGT,199713159,27.89
UNVR,157462475,35.31
TIXT,273399015,20.30
NEP,88942308,62.40
AQN,687810945,8.04
PB,91299323,60.57
SWN,1101796407,5.01
RH,22034374,249.61
GTLS,42779079,128.10
PVH,62635978,87.33
FOUR,82952816,65.70
NCLH,421378776,12.91
WTS,33314791,161.79
MNSO,316098707,17.02
HOG,144277270,37.22
AIRC,149125243,36.01
EXP,36000809,148.33
SRC,141157811,37.83
DDS,16768197,318.46
AIT,38539407,138.30
NSA,138657648,38.44
HGTY,587973274,8.98
ATKR,39448920,132.83
FSK,281401617,18.55
POST,58896676,88.46
HGV,112361983,46.19
ALIT,556866953,9.32
NJR,96918768,53.55
WK,53079209,97.59
MSA,39236560,131.51
VAC,37007761,139.16
OSK,65430060,78.71
AMG,35806519,143.27
AYI,31817900,161.23
TRNO,82780922,61.85
HRB,152147971,33.52
BROS,168208857,30.26
MSM,55861007,90.94
ELF,53288577,95.33
ORA,59641678,84.84
HUN,183532826,27.57
DV,165517241,30.45
NFG,91769847,54.92
AGI,394366197,12.78
APG,234498834,21.45
ATI,128578732,39.12
NE,134946237,37.20
NEWR,68951280,72.66
TNET,59587653,83.91
S,288773148,17.28
ORCC,391030685,12.71
CWAN,297362110,16.68
RHP,55049945,90.10
MMS,60728745,81.51
MPW,597826087,8.28
SSD,42735043,115.83
DNB,434898140,11.29
AM,478431373,10.20
BIPC,110682694,44.09
SNDR,178127286,27.34
FIX,35701141,135.85
PRGO,135172798,35.88
NSP,38204017,126.95
M,272522523,17.76
AXS,85159011,56.60
PSN,104643558,45.87
RYN,147222222,32.40
BRBR,133595285,35.63
EVR,38626958,123.23
ENLC,470355731,10.12
PHI,216697080,21.92
ELAN,492227979,9.65
MSGS,23875485,198.53
MTH,36826534,128.44
VRT,378836834,12.38
OMF,120990874,38.35
PBF,128762542,35.88
DTM,96869090,47.59
DEN,49870186,92.44
XPO,115172759,39.94
KRG,219151977,20.99
TRTN,54807692,83.20
AJRD,80693683,56.51
SNV,145840026,31.13
VAL,75202915,60.37
THG,35596157,126.98
POR,89377725,50.46
ESNT,108121096,41.62
TDOC,163503650,27.40
RIG,722580645,6.20
OGS,55417803,80.66
INFA,283895608,15.71
ATCO,287467700,15.48
CXT,90723335,48.94
HOMB,203304268,21.79
ABG,21667729,203.99
ESI,241115364,18.29
CR,56422723,78.16
LPX,72000000,61.25
BFAM,57795875,76.13
AL,110942249,39.48
FLS,131216297,33.38
WNS,48200726,90.87
COHR,130175752,33.57
LPL,715460526,6.08
LU,2284210526,1.90
MP,177795985,24.41
HE,109533469,39.44
TMHC,108406524,39.85
JHG,165834933,26.05
SID,1474402730,2.93
SKY,56998940,75.44
BKH,66316278,64.69
TAL,650000000,6.60
ALSN,92122256,46.46
HAE,50453849,84.83
CC,148936170,28.67
SQSP,135066582,31.54
TKC,874743326,4.87
WAL,109620841,38.77
THO,53366897,79.45
FLR,142186452,29.82
VNT,155571901,27.19
LEG,132977051,31.81
MODG,185087719,22.80
GBCI,110847815,37.98
FNB,361757106,11.61
PNM,85924714,48.88
AB,113642528,36.87
CBT,56389452,73.95
MTG,289824561,14.25
TDC,102269893,40.09
KEX,60029283,68.30
WU,374311927,10.90
RLX,1545454545,2.64
CPG,547043011,7.44
SWX,71378464,57.02
GOL,1598425197,2.54
R,46575657,87.17
W,110437896,36.31
AZEK,150695227,26.61
MAXR,75639810,52.75
SMG,55891877,71.03
AMC,798792757,4.97
GATX,35272112,112.27
YOU,153279007,25.77
ONTO,48663299,81.17
LTHM,179580675,21.94
MLI,57060101,69.05
SAM,12270513,320.28
ASGN,49382716,79.38
BOX,144440340,27.07
EVH,110826939,35.19
RITM,483830846,8.04
CABO,5724966,679.48
FL,93381468,41.55
ASAN,214444444,18.00
FHI,89351852,43.20
BMI,29315465,131.33
STR,155214228,24.74
HHC,50006528,76.59
MAN,50876727,75.28
CADE,182425979,20.94
HL,607028754,6.26
UAA,422691880,8.99
UA,466830467,8.14
TGNA,223203769,16.98
ENIC,1373188406,2.76
SUN,84168337,44.91
WTM,3780000000,1
HP,104345419,36.13
GTES,282477341,13.24
INST,143130501,26.13
BE,207107163,18.01
ADNT,95348240,38.91
ATHM,125512996,29.24
ALE,57281099,64.07
ZWS,175934803,20.86
SR,52540913,69.66
BTU,144778481,25.28
AYX,70479492,51.93
RDN,156989247,23.25
PAM,103566334,35.05
EPRT,149278351,24.25
IRT,224426534,16.13
AVNT,91184643,39.59
FUL,53912784,66.96
LNC,169332079,21.26
KRC,117014342,30.68
NEU,9689609,370.50
FRO,222498446,16.09
AMN,41095890,86.87
KMPR,64035874,55.75
SIG,45218493,78.95
DOC,248256625,14.34
APLE,228239845,15.51
AMTD,2107142857,1.68
ENV,54004577,65.55
STNG,59989832,59.01
SEM,126978417,27.80
ESAB,60146533,58.69
CPA,39476627,89.42
CS,3911111111,0.90
GPS,368200837,9.56
IBP,28416451,123.52
NNI,37261791,93.93
EURN,202195263,17.31
KWR,18082902,193.00
ASAI,268668206,12.99
CNMD,30494217,114.12
FN,36647009,94.96
KBH,82420200,41.98
OI,155515371,22.12
DAVA,56971514,60.03
SEAS,64008984,53.43
CXM,265783320,12.83
JBT,31775701,107.00
BSM,209517923,16.18
GOLF,66916700,50.66
BDC,42944008,78.94
YETI,86699254,38.87
ENS,40717402,82.52
DQ,74916388,44.85
GEF.B,42335397,79.13
GEF,52442079,63.88
PWSC,159808612,20.90
LTH,194509346,17.12
AWR,36991780,90.02
WHD,79418078,41.93
SM,120333454,27.59
QS,439735099,7.55
MANU,163214990,20.28
TFPM,200242718,16.48
AVA,75325268,43.81
AWI,45504688,72.52
NOMD,174443266,18.86
SPR,104807692,31.20
DOCN,97090261,33.68
SUM,119021541,27.39
GPI,14207411,228.05
CWT,55603523,57.91
KD,227561837,14.15
KOS,459885387,6.98
CUZ,151701323,21.16
BAK,412903226,7.75
AGO,59183673,53.90
HI,69408181,45.96
VNO,206092029,15.43
MAIN,79508402,39.87
AEL,84668803,37.44
SXT,42300507,74.94
ERF,216438356,14.60
BNL,197747184,15.98
NCR,140124555,22.48
MOG.A,31882591,98.80
MOG.B,32284598,97.26
PFSI,50023897,62.77
HRI,29124407,107.47
UNF,18636499,167.95
PD,91466978,34.22
CHPT,350168350,8.91
ENOV,54355401,57.40
FSS,60878049,51.25
WOR,49760000,62.50
UGP,1087719298,2.85
CALX,66124545,46.73
BXMT,171970966,17.91
TEX,67381317,45.71
TNL,77620968,39.68
AVAL,1171755725,2.62
BCO,46713329,65.72
LAZ,86956522,35.19
CRK,277425204,11.03
PBH,49585433,61.51
SPXC,45570763,66.49
JXN,82311256,36.69
EPR,75386920,40.06
CNS,49097708,61.51
IHS,332594235,9.02
OR,184275184,16.28
PAGS,329646018,9.04
VSH,140028289,21.21
GNW,490099010,6.06
GBTG,464062500,6.40
ROG,18655779,159.20
LAC,150972364,19.54
TR,67030220,44.01
ERJ,183354193,15.98
THS,56055099,52.27
MDC,73195104,40.03
TGS,281703775,10.33
NTCO,686320755,4.24
PJT,39509537,73.40
ACA,48514353,59.57
ESMT,166570272,17.29
LCII,25303110,113.82
BUR,219062260,13.01
CCU,184535413,15.39
GHC,4788494,591.00
AIN,31205205,90.69
TV,565130261,4.99
LXP,293013556,9.59
CVI,100358423,27.90
ABM,65975495,42.44
CRC,71028513,39.28
NOG,85425597,32.66
SPB,40978774,67.84
TEO,546168959,5.09
TPH,101588474,27.07
IFS,115546218,23.80
RNG,96899225,28.38
HMY,617117117,4.44
ASB,150662252,18.12
IBA,49963262,54.44
BHC,363636364,7.48
DY,29303234,92.14
BCC,39723407,67.97
ITGR,33250927,80.90
SFBS,54515867,49.16
CRI,37890570,70.73
JWN,159880240,16.70
REZI,146542261,18.22
OUT,164910105,16.13
MC,63957682,41.59
NGVT,37171604,71.56
DNA,2070312500,1.28
MCW,307068366,8.63
PK,222222222,11.88
AEO,195393759,13.46
BOWL,170890188,15.39
MYOV,97108970,26.98
CEQP,105475040,24.84
CNX,167841127,15.61
KTB,55508475,47.20
CBZ,50552005,51.63
KFY,52291540,49.53
KSS,110778443,23.38
DEI,205741627,12.54
BRC,49615385,52.00
CBU,53817272,47.94
FRC,186097031,13.81
OFC,112571178,22.83
CNO,114864865,22.20
HASI,90909091,27.94
VSCO,77918078,32.47
ZIM,120171674,20.97
JOBY,626566416,3.99
ESE,25879917,96.60
MATX,36069831,69.31
JKS,50271466,49.73
AI,112714157,22.18
ARNC,99203187,25.10
PIPR,17771751,140.11
SITC,209419680,11.89
DEA,178417266,13.90
AUB,75265554,32.95
SSTK,35812672,68.97
AMR,15182248,162.69
LGF.A,218472469,11.26
BB,581560284,4.23
PRMW,159844055,15.39
AKO.B,157622739,15.48
APAM,68462402,35.64
NABL,181750187,13.37
AMK,73995128,32.84
ARCH,18749516,129.07
HIW,105148342,22.92
SJW,30877643,78.05
JOE,58309038,41.16
GMS,41247834,57.70
SHAK,42213551,56.38
GKOS,47791894,49.59
HAYW,212556054,11.15
FG,126001068,18.73
CHGG,126344086,18.60
TAC,266818700,8.77
MTRN,20477816,114.27
EE,108283202,21.61
WEBR,286945813,8.12
HIMS,208633094,11.12
ITCB,649859944,3.57
ENR,71208385,32.44
CRS,48539609,47.59
WD,33410808,68.84
CPK,17796083,128.68
LBRT,175384615,13.00
WMK,26915358,84.71
TDW,50466874,44.98
AX,59989429,37.84
KW,138161899,16.43
EQC,109714838,20.69
AGTI,134124629,16.85
KAI,11701076,192.29
EPC,51405072,43.77
